maroon,gold,teal
creativity and innovation management,international journal of product development,technovation
long range planning,journal of product innovation management (jpim),r&d management
organization science,international journal of innovation management,
research policy (rp),international journal of technology management,
journal of marketing,management science,
,mit sloan management review,
