teal,gold,orange,green,maroon
decision support systems,international journal of innovation management,technovation,research policy,technological forecasting and social change
international journal of entrepreneurship and innovation management,international journal of technology management,,,
international journal of innovation and technology management,journal of engineering and technology management - jet-m,,,
journal of product innovation management,r and d management,,,
mis quarterly: management information systems,journal of business research,,,
european journal of innovation management,journal of cleaner production,,,
,organization science,,,
,international journal of information management,,,
