gold,orange,green,teal,maroon
creativity and innovation management,international journal of product development,long range planning,organization science,industrial marketing management
journal of product innovation management (jpim),research policy (rp),journal of business research,international journal of production economics,r&d management
technovation,harvard business review,,ieee transactions on engineering management,
journal of marketing research,international journal of innovation management,,journal of marketing,
,international journal of technology management,,,
,management science,,,
,mit sloan management review,,,
