gold,orange,maroon,teal
"lehnen, jens","lüthje, christian*","pieper, thorsten","schweisfurth, tim g."
"herstatt, cornelius*","morrison, pamela d.","tietze, frank","zaggl, michael a."
"schmidt, tobias sebastian","tietz, robert",,
"skiba, florian",,,
"wellner, konstantin",,,
