teal,orange,gold,maroon
3d printing,collaboration,crowdsourcing,open innovation
co-creation,diffusion,new product development,toolkit
motivation,user entrepreneurship,entrepreneurship,lead user
online community,innovation,user community,social medium
user innovation,innovation policy,,user involvement
,user,,
