maroon,teal,gold,orange,brown,blue,purple,pink,indigo,cyan,green,yellow,red
"ahvari, hooman","bortoluzzi, guido","brem, alexander","de jong, jeroen p.j.","escobar, octavio","fursov, konstantin","johnson, mikael","karantinou, kalipso","schulz, michael","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","xiao, ting"
"ekhlassi, amir","yordanova, zornitsa","bilgram, volker","gillert, nils lennart","khvatova, tatiana","nefedova, alena","kristensson, per","goffin, keith","völckner, franziska","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","wang, xuan"
"mcdonagh, joe","ghasemzadeh, khatereh",,"poldervaart, sabrine","maalaoui, adnane","thurner, thomas","trischler, jakob","sakellariou, evy",,,,,"yang, cai"
,,,"raasch, christina","schiavone, francesco",,,,,,,,"yang, zhi"
,,,"rigtering, coen","raïes, karine",,,,,,,,
,,,"spaans, lara","rivieccio, giorgia",,,,,,,,
,,,"stock, ruth maria",,,,,,,,,
,,,"von hippel, eric",,,,,,,,,
,,,"wu, chia huei",,,,,,,,,
