maroon,teal,gold,orange,green,yellow,red,purple,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,coral,darkblue,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,blue,grey,darkgreen
"abrate, graziano","adams, pamela","afuah, allan","andriani, pierpaolo","arvanitis, spyros","baldwin, carliss","bilgram, volker","bortoluzzi, guido","buganza, tommaso","bäckström, izabelle","casadesus-masanell, ramon","chatterji, aaron k.","crocco, edoardo","faulkner, philip","fritzsche, albrecht","globocnik, dietfried","gong, yu","hamdi-kidar, linda","helminen, pia","leenders, mark a.a.m.","leminen, seppo","lu, yaobin","mendonça, joana","miyazawa, jun ichi","oliveira, pedro","peine, alexander","rayna, thierry","scheid, françois","shermon, anavir","shin, hyun","svensson, peter o."
"menozzi, anna","fontana, roberto","bastian, bettina","de toni, alberto felice","fuchs, barbara","hienerth, christoph","gutstein, adele","yordanova, zornitsa","dell'era, claudio","bengtsson, lars","llanes, gastón","fabrizio, kira","culasso, francesca","runde, jochen","moeslein, kathrin m.","faullant, rita","jia, fu","vellera, cyrielle","freeman, stephanie","cong, ling mei","nyström, anna greta","gupta, sumeet","reis, anabela","takahashi, shingo","veloso, francisco","herrmann, andrea m.","darlington, john","charue-duboc, florence","moeen, mahka","rao, p. m.","hartmann, rasmus koss"
,"malerba, franco","bogers, marcel","carignani, giuseppe","woerter, martin","von hippel, eric","marchuk, anna","escobar, octavio","pellizzoni, elena",,,,"giacosa, elisa",,"naik, hari suman",,"shi, yangyan",,"johnson, mikael","zhou, michael","westerlund, mika","ma, jifeng",,"yoshida, daichi","van der boor, paul",,"striukova, ludmila",,,"shin, jongtae",
,,"mccarthy, ian p.",,,,"brem, alexander","villasalero, manuel","trabucchi, daniel",,,,"yahiaoui, dorra",,,,"zhang, yufang",,"juntunen, jouni k.",,"pacauskas, darius",,,,,,,,,,
,,"pitt, leyland",,,,,"ghasemzadeh, khatereh",,,,,,,,,"sun, yanhua",,"mäkinen, samuli",,"mäntymäki, matti",,,,,,,,,,
,,"west, joel",,,,,,,,,,,,,,,,"hyysalo, sampsa",,"rajala, risto",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,
