maroon,teal,gold,green,yellow,red,blue,purple,brown,pink,orange
"ahvari, hooman","bortoluzzi, guido","de jong, jeroen p.j.","fursov, konstantin","globocnik, dietfried","hamdi-kidar, linda","hartmann, mia rosa","hyysalo, sampsa","o'hern, matthew","raïes, karine","von hippel, christiana d."
"ekhlassi, amir","yordanova, zornitsa","poldervaart, sabrine","linton, jonathan","faullant, rita","vellera, cyrielle","hartmann, rasmus koss","johnson, mikael","ye, jun","schiavone, francesco","cann, andrew b."
"mcdonagh, joe","ghasemzadeh, khatereh","raasch, christina","nefedova, alena",,,,"juntunen, jouni k.","wu, jiajun","rivieccio, giorgia",
,,"rigtering, coen","thurner, thomas",,,,"kristensson, per",,,
,,"spaans, lara",,,,,"trischler, jakob",,,
,,"wu, chia huei",,,,,,,,
