maroon,teal,gold
"block, jörn h.","de jong, jeroen p.j.*","poldervaart, sabrine"
"henkel, joachim*","rigtering, coen","raasch, christina*"
"schweisfurth, tim g.","spaans, lara","preißner, stephanie"
"stiegler, annika","mulhuijzen, max","wu, chia huei"
"von hippel, eric","yu, xin",
