teal,orange,gold,maroon
"al-jayyousi, odeh r.","cai, fangtong","füller, johann","mathies, christine"
"durugbo, christopher m.","qiu, shanshan","jawecki, gregor","de ruyter, ko"
,"zhu, wei","matzler, kurt","patterson, paul g."
,"li, shuqin","mühlbacher, hans","piyathasanan, bhuminan"
,"qin, min",,
