maroon,gold,teal
"al-jayyousi, odeh r.","füller, johann","mathies, christine"
"durugbo, christopher m.","jawecki, gregor","de ruyter, ko"
,"matzler, kurt","patterson, paul g."
,"mühlbacher, hans","piyathasanan, bhuminan"
