maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,navy,silver,black,crimson,grey,olive
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","brem, alexander","buganza, tommaso","chatterji, aaron k.","dahl, darren w.","de jong, jeroen p.j.","ford, simon j.","fursov, konstantin","goduscheit, rené chester","haller, jörg b.a.","hyysalo, sampsa","kim, jieun","lu, yaobin","schaarschmidt, mario","schulz, michael","shin, hyun","smith, sheryl winston"
"fontana, roberto","bastian, bettina","ekhlassi, amir","muñiz, albert m.","fuchs, barbara","bilgram, volker","dell'era, claudio","fabrizio, kira","fuchs, christoph","rigtering, coen","jaeger, manuel","linton, jonathan","jørgensen, jacob høj","möslein, kathrin m.","johnson, mikael","park, yongtae","gupta, sumeet","kilian, thomas","völckner, franziska","rao, p. m.","shah, sonali k."
"malerba, franco","bogers, marcel","mcdonagh, joe",,"woerter, martin",,"pellizzoni, elena",,"schreier, martin","spaans, lara","mortara, letizia","nefedova, alena",,"schneckenberg, dirk","juntunen, jouni k.",,"ma, jifeng",,,"shin, jongtae",
,"west, joel",,,,,"trabucchi, daniel",,"prandelli, emanuela",,,"thurner, thomas",,"velamuri, vivek k.","kristensson, per",,,,,,
,,,,,,,,,,,,,,"trischler, jakob",,,,,,
