gold,teal,maroon,orange
"lehnen, jens","herstatt, cornelius","lüthje, christian","schweisfurth, tim g."
"schmidt, tobias sebastian","pieper, thorsten","morrison, pamela d.","zaggl, michael a."
,"skiba, florian","tietz, robert",
,"tietze, frank",,
,"wellner, konstantin",,
