gold,green,orange,maroon,teal
"adams, pamela","dahl, darren w.","hyysalo, sampsa","leminen, seppo","raasch, christina"
"fontana, roberto","fuchs, christoph","johnson, mikael","westerlund, mika","von hippel, eric"
"malerba, franco","schreier, martin","juntunen, jouni k.",,
,"prügl, reinhard",,,
