teal,gold,maroon
"bradonjic, philip","goduscheit, rené chester","herstatt, cornelius"
"franke, nikolaus","jørgensen, jacob høj","von hippel, eric"
"lüthje, christian","hinsch, mareike e.","morrison, pamela d."
"ebbing, tobias","stockstrom, christoph s.","tietz, robert"
