maroon,teal,gold,orange,green,yellow,red,blue,pink,brown,indigo,cyan,magenta,olive,navy,silver,black,crimson,coral,darkblue,darkgreen,darkred,greenyellow,darkcyan,deeppink,dodgerblue,firebrick,forestgreen,goldenrod,hotpink,khaki,lightblue,lightcoral,lightgreen,lightpink,lightsalmon,lightslategray,lightsteelblue,limegreen,mediumaquamarine,mediumblue,mediumorchid,mediumseagreen,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,mistyrose,navajowhite,olivedrab,orangered,orchid,palegoldenrod,palegreen,fuchsia,paleturquoise,indianred,purple,lawngreen,lime,lightseagreen,lightskyblue,grey,mediumpurple,mediumslateblue,darkviolet,darkorange,darkmagenta,darkturquoise
,,,,,,,,"gambardella, alfonso",,,,,,,,,,,,,,,,,,,,,,,,,"stewart, james",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"gobble, maryanne m.",,,,,,,,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"euchner, jim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"herstatt, cornelius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"berg jensen, morten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"janzik, lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"lakhani, karim r.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"lüthje, christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"morrison, pamela d.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"roberts, john h.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"oliveira, pedro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"e cunha, miguel pina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"stock, ruth maria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"gillert, nils lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"katz, ralph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"kaulartz, sandro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"paradiso, joseph a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
