maroon,teal,gold,orange,yellow,red,blue,purple,brown,indigo,cyan,pink,green
"ahvari, hooman","bortoluzzi, guido","brem, alexander","de jong, jeroen p.j.","escobar, octavio","fursov, konstantin","johnson, mikael","karantinou, kalipso","schulz, michael","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","xiao, ting"
"ekhlassi, amir","yordanova, zornitsa","bilgram, volker","poldervaart, sabrine","khvatova, tatiana","nefedova, alena","kristensson, per","goffin, keith","völckner, franziska","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","wang, xuan"
"mcdonagh, joe","ghasemzadeh, khatereh",,"raasch, christina","maalaoui, adnane","thurner, thomas","trischler, jakob","sakellariou, evy",,,,,"yang, cai"
,,,"rigtering, coen","schiavone, francesco",,,,,,,,"yang, zhi"
,,,"spaans, lara","raïes, karine",,,,,,,,
,,,"wu, chia huei","rivieccio, giorgia",,,,,,,,
