maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,darkgreen,magenta,lime,olive,navy,silver,black,crimson,coral,darkblue,darkred,indigo,cyan,grey
"abrate, graziano","afuah, allan","ahvari, hooman","altman, elizabeth j.","bilgram, volker","bortoluzzi, guido","buganza, tommaso","bäckström, izabelle","crocco, edoardo","cui, miao","de jong, jeroen p.j.","escobar, octavio","ford, simon j.","fritzsche, albrecht","fursov, konstantin","globocnik, dietfried","hamdi-kidar, linda","hartmann, mia rosa","helminen, pia","o'hern, matthew","peine, alexander","schmidt-keilich, marc","schulz, michael","shermon, anavir","von hippel, christiana d."
"menozzi, anna","bastian, bettina","ekhlassi, amir","szulanski, gabriel","gutstein, adele","yordanova, zornitsa","dell'era, claudio","bengtsson, lars","culasso, francesca","liu, yan","poldervaart, sabrine","khvatova, tatiana","jaeger, manuel","moeslein, kathrin m.","linton, jonathan","faullant, rita","vellera, cyrielle","hartmann, rasmus koss","freeman, stephanie","ye, jun","herrmann, andrea m.","schrader, ulf","völckner, franziska","moeen, mahka","cann, andrew b."
,"bogers, marcel","mcdonagh, joe","friedmann, jens christian","marchuk, anna","ghasemzadeh, khatereh","pellizzoni, elena",,"giacosa, elisa","qian, jinfang","raasch, christina","maalaoui, adnane","mortara, letizia","naik, hari suman","nefedova, alena",,,,"johnson, mikael","wu, jiajun",,,,,
,,,"wu, nety","brem, alexander",,"trabucchi, daniel",,"yahiaoui, dorra",,"rigtering, coen","schiavone, francesco",,,"thurner, thomas",,,,"juntunen, jouni k.",,,,,,
,,,"von hippel, eric",,,,,,,"spaans, lara","raïes, karine",,,,,,,"mäkinen, samuli",,,,,,
,,,,,,,,,,"wu, chia huei","rivieccio, giorgia",,,,,,,"hyysalo, sampsa",,,,,,
,,,,,,,,,,,,,,,,,,"kristensson, per",,,,,,
,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,
