teal,maroon,gold
"balka, kerstin","herstatt, cornelius","hippel, eric von"
"raasch, christina","braun, viktor","lüthje, christian"
"lock, phillip","lehnen, jens","morrison, pamela d."
"schweisfurth, tim g.","schmidt, tobias sebastian","tietz, robert"
"zaggl, michael a.","pieper, thorsten",
,"skiba, florian",
,"tietze, frank",
,"wellner, konstantin",
