maroon,teal,indigo,orange,green,yellow,red,blue,purple,magenta,brown,cyan,lime,olive,navy,silver,black,coral,darkblue,darkgreen,darkred,darkviolet,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,lightblue,gold,pink,crimson,grey,darkorange
"abrate, graziano","adams, pamela","afuah, allan","agostini, lara","ahvari, hooman","antorini, yun mi","arvanitis, spyros","bae, zong tae","berends, hans","bilgram, volker","björk, jennie","bortoluzzi, guido","browder, russell e.","buganza, tommaso","chatterji, aaron k.","cui, miao","de jong, jeroen p.j.","fuchs, christoph","fursov, konstantin","globocnik, dietfried","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hu, suya","jahanmir, sara f.","johnson, mikael","kankanhalli, atreyi","karantinou, kalipso","lauritzen, ghita dragsdahl","leminen, seppo","liao, xiao","lu, yaobin","mendonça, joana","mukherjee, satyam","nielsen, kristian roed","peine, alexander","rayna, thierry","schaarschmidt, mario","schulz, michael","svensson, peter o.","von hippel, christiana d.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","filippini, roberto","ekhlassi, amir","jensen, morten berg","fuchs, barbara","kang, shin hyung","deken, fleur","gutstein, adele","magnusson, mats","yordanova, zornitsa","crider, cole j.","dell'era, claudio","fabrizio, kira","liu, yan","poldervaart, sabrine","dahl, darren w.","linton, jonathan","faullant, rita","heiskanen, eva","möslein, kathrin m.","keinz, peter","xu, di","lages, luis filipe","kristensson, per","teo, hock hai","goffin, keith","la cour, anders","nyström, anna greta","xi, yunjiang","gupta, sumeet","reis, anabela","jain, tarun","reisch, lucia a.","herrmann, andrea m.","darlington, john","kilian, thomas","völckner, franziska","hartmann, rasmus koss","cann, andrew b.","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","nosella, anna","mcdonagh, joe","nørskov, sladjana","woerter, martin","kim, joong hyun","feldberg, frans","marchuk, anna","sandström, gunilla ölundh","escobar, octavio","garrett, robert p.","pellizzoni, elena",,"qian, jinfang","raasch, christina","schreier, martin","nefedova, alena",,"hyysalo, sampsa","schneckenberg, dirk","le nagard, emmanuelle",,,"trischler, jakob","ye, hua jonathan","sakellariou, evy","salomo, søren","westerlund, mika","ye, guangyu","ma, jifeng",,,"thøgersen, john",,"striukova, ludmila",,,,,
"pera, rebecca",,"mccarthy, ian p.",,,,,,"borner, kathrin","brem, alexander","wadell, carl","khvatova, tatiana",,"trabucchi, daniel",,,"rigtering, coen",,"thurner, thomas",,"repo, petteri","velamuri, vivek k.","vellera, cyrielle",,,,"ye, hua",,,,"yu, juan",,,,,,,,,,,
,,"pitt, leyland",,,,,,,"gladysz, bartosz",,"maalaoui, adnane",,,,,"spaans, lara",,,,"timonen, päivi",,"vernette, eric",,,,,,,,"zantow, kenneth",,,,,,,,,,,
,,"west, joel",,,,,,,"ernst, markus",,"schiavone, francesco",,,,,"wu, chia huei",,,,,,"hienerth, christoph",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"schulz, stefanie",,"villasalero, manuel",,,,,,,,,,,"lettl, christopher",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"ghasemzadeh, khatereh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
