maroon,teal,gold,orange,green,yellow,blue,purple,red
"ahvari, hooman","bortoluzzi, guido","de jong, jeroen p.j.","fursov, konstantin","globocnik, dietfried","hamdi-kidar, linda","hyysalo, sampsa","o'hern, matthew","von hippel, christiana d."
"ekhlassi, amir","yordanova, zornitsa","gault, fred","linton, jonathan","faullant, rita","vellera, cyrielle","johnson, mikael","ye, jun","cann, andrew b."
"mcdonagh, joe","ghasemzadeh, khatereh","kuusisto, jari","nefedova, alena",,,"juntunen, jouni k.","wu, jiajun",
,,"raasch, christina","thurner, thomas",,,"kristensson, per",,
,,"von hippel, eric",,,,"trischler, jakob",,
