teal,gold,maroon
community-based innovation,user innovation,crowdsourcing
consumer innovator,consumer innovation,customer integration
innovation management,diffusion,new product development
open innovation,free innovation,open source software
user community,household sector innovation,toolkit
innovation,product development,
lead user,,
