maroon,teal,gold,orange,green,yellow,purple,blue,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,red
"abrate, graziano","adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","awazu, yukika","bilgram, volker","bortoluzzi, guido","buganza, tommaso","chandra, yanto","chatterji, aaron k.","dahlander, linus","fritzsche, albrecht","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","hamdi-kidar, linda","harrison, debbie","helminen, pia","janzik, lars","kankanhalli, atreyi","karantinou, kalipso","koch, stefan","lauritzen, ghita dragsdahl","lu, yaobin","mendonça, joana","miyazawa, jun ichi","ogawa, susumu","ogink, timko","peine, alexander","prügl, reinhard","stanko, michael a.","svensson, peter o.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","ekhlassi, amir","jensen, morten berg","ramaprasad, arkalgud","gutstein, adele","yordanova, zornitsa","dell'era, claudio","leenders, mark a.a.m.","fabrizio, kira","frederiksen, lars","moeslein, kathrin m.","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","keinz, peter","waluszewski, alexandra","freeman, stephanie","raasch, christina","teo, hock hai","goffin, keith","artmayr, philipp","la cour, anders","gupta, sumeet","reis, anabela","takahashi, shingo","pongtanalert, kritinee","dong, john qi","herrmann, andrea m.","schreier, martin","allen, b. j.","hartmann, rasmus koss","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","mcdonagh, joe","muñiz, albert m.","desouza, kevin c.","marchuk, anna","ghasemzadeh, khatereh","pellizzoni, elena",,,"piezunka, henning","naik, hari suman","marchi, gianluca",,,"le nagard, emmanuelle",,"johnson, mikael",,"ye, hua jonathan","sakellariou, evy",,"salomo, søren","ma, jifeng",,"yoshida, daichi",,,,,,,
"pera, rebecca",,"west, joel",,"nørskov, sladjana",,"brem, alexander",,"trabucchi, daniel",,,,,,,,"vernette, eric",,"juntunen, jouni k.",,,,,,,,,,,,,,,
,,,,,,"gladysz, bartosz",,,,,,,,,,,,"mäkinen, samuli",,,,,,,,,,,,,,,
,,,,,,"schulz, stefanie",,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,
