maroon,orange,yellow,brown,magenta,olive,silver,black,indigo,cyan,lime,navy,teal,gold,green,red,blue,purple,pink
"afuah, allan","arai, yasuhiro","bilgram, volker","bortoluzzi, guido","bäckström, izabelle","dahlander, linus","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","harrison, debbie","hartmann, mia rosa","hassan, salah s.","jeong, yujin","koch, stefan","mendonça, joana","nielsen, kristian roed","oliveira, pedro","peine, alexander","wang, yonggui"
"bastian, bettina","kinukawa, shinya","gutstein, adele","yordanova, zornitsa","bengtsson, lars","piezunka, henning","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","waluszewski, alexandra","hartmann, rasmus koss","mourad, maha","lee, keeeun","bierbamer, michael","reis, anabela","reisch, lucia a.","veloso, francisco","herrmann, andrea m.","li, dahui"
"bogers, marcel",,"marchuk, anna","ghasemzadeh, khatereh",,,"naik, hari suman",,"marchi, gianluca",,"svensson, peter o.","tolba, ahmed h.","lee, sungjoo","guceri-ucar, gozem",,"thøgersen, john","van der boor, paul",,
"west, joel",,"brem, alexander",,,,,,,,,,"yoon, byungun",,,,,,
