maroon,gold,yellow,indigo,cyan,lime,silver,crimson,teal,olive,navy,magenta,black,orange,green,red,blue,purple,pink,brown
"afuah, allan","arai, yasuhiro","bilgram, volker","bortoluzzi, guido","bäckström, izabelle","dahlander, linus","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","harrison, debbie","hassan, salah s.","jeong, yujin","koch, stefan","mendonça, joana","nielsen, kristian roed","oliveira, pedro","peine, alexander","pongtanalert, kritinee","svensson, peter o.","wang, yonggui"
"bastian, bettina","kinukawa, shinya","gutstein, adele","yordanova, zornitsa","bengtsson, lars","piezunka, henning","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","waluszewski, alexandra","mourad, maha","lee, keeeun","bierbamer, michael","reis, anabela","reisch, lucia a.","veloso, francisco","herrmann, andrea m.","ogawa, susumu","hartmann, rasmus koss","li, dahui"
"bogers, marcel",,"marchuk, anna","ghasemzadeh, khatereh",,,"naik, hari suman",,"marchi, gianluca",,"tolba, ahmed h.","lee, sungjoo","guceri-ucar, gozem",,"thøgersen, john","van der boor, paul",,,,
"west, joel",,"brem, alexander",,,,,,,,,"yoon, byungun",,,,,,,,
