maroon,teal,gold,orange,green,yellow,red,blue,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,grey,purple
"afuah, allan","arai, yasuhiro","bilgram, volker","block, jörn h.","bortoluzzi, guido","bäckström, izabelle","dahlander, linus","de jong, jeroen p.j.","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","harrison, debbie","hartmann, mia rosa","hassan, salah s.","jeong, yujin","koch, stefan","mendonça, joana","nielsen, kristian roed","oliveira, pedro","peine, alexander","wang, yonggui"
"bastian, bettina","kinukawa, shinya","gutstein, adele","henkel, joachim","yordanova, zornitsa","bengtsson, lars","piezunka, henning","poldervaart, sabrine","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","waluszewski, alexandra","hartmann, rasmus koss","mourad, maha","lee, keeeun","bierbamer, michael","reis, anabela","reisch, lucia a.","veloso, francisco","herrmann, andrea m.","li, dahui"
"bogers, marcel",,"marchuk, anna","schweisfurth, tim g.","ghasemzadeh, khatereh",,,"raasch, christina","naik, hari suman",,"marchi, gianluca",,"svensson, peter o.","tolba, ahmed h.","lee, sungjoo","guceri-ucar, gozem",,"thøgersen, john","van der boor, paul",,
"west, joel",,"brem, alexander","stiegler, annika",,,,"rigtering, coen",,,,,,,"yoon, byungun",,,,,,
,,,"von hippel, eric",,,,"spaans, lara",,,,,,,,,,,,,
,,,,,,,"mulhuijzen, max",,,,,,,,,,,,,
,,,,,,,"preißner, stephanie",,,,,,,,,,,,,
,,,,,,,"wu, chia huei",,,,,,,,,,,,,
