maroon,teal,gold,orange
appropriability regime,user innovation,community,diffusion failure
disruptive innovation,collaborative innovation,dominant design,effort to sell
environmental turbulence,modularity,industry evolution,eudaimonic motivation
functional novelty,open innovation,real option,free revealing
radical innovation,,,identity perspective
,,,makerspace
,,,nurse innovation
