teal,maroon,gold,orange
appropriability regime,user innovation,complementary asset,diffusion
disruptive innovation,diffusion failure,intellectual property,professionalism
environmental turbulence,makerspace,machinima,social network
functional novelty,nurse innovation,market entry,user community
radical innovation,,user entrepreneur,
