maroon,teal,gold,orange,green,yellow,red,blue,cyan,pink,indigo,magenta,lime,olive,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,purple,navy,brown
"abrate, graziano","adams, pamela","afuah, allan","agostini, lara","ahvari, hooman","antorini, yun mi","arvanitis, spyros","bae, zong tae","bilgram, volker","björk, jennie","bortoluzzi, guido","buganza, tommaso","chatterji, aaron k.","cui, miao","fuchs, christoph","fursov, konstantin","globocnik, dietfried","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hu, suya","jahanmir, sara f.","johnson, mikael","kankanhalli, atreyi","karantinou, kalipso","lauritzen, ghita dragsdahl","leminen, seppo","liao, xiao","lu, yaobin","mendonça, joana","mukherjee, satyam","nielsen, kristian roed","ogawa, susumu","peine, alexander","rayna, thierry","schaarschmidt, mario","schulz, michael","svensson, peter o.","von hippel, christiana d.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","filippini, roberto","ekhlassi, amir","jensen, morten berg","fuchs, barbara","kang, shin hyung","gutstein, adele","magnusson, mats","yordanova, zornitsa","dell'era, claudio","fabrizio, kira","liu, yan","dahl, darren w.","linton, jonathan","faullant, rita","heiskanen, eva","möslein, kathrin m.","keinz, peter","xu, di","lages, luis filipe","kristensson, per","teo, hock hai","goffin, keith","la cour, anders","nyström, anna greta","xi, yunjiang","gupta, sumeet","reis, anabela","jain, tarun","reisch, lucia a.","pongtanalert, kritinee","herrmann, andrea m.","darlington, john","kilian, thomas","völckner, franziska","hartmann, rasmus koss","cann, andrew b.","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","nosella, anna","mcdonagh, joe","nørskov, sladjana","woerter, martin","kim, joong hyun","marchuk, anna","sandström, gunilla ölundh","escobar, octavio","pellizzoni, elena",,"qian, jinfang","schreier, martin","nefedova, alena",,"hyysalo, sampsa","schneckenberg, dirk","le nagard, emmanuelle",,,"trischler, jakob","ye, hua jonathan","sakellariou, evy","salomo, søren","westerlund, mika","ye, guangyu","ma, jifeng",,,"thøgersen, john",,,"striukova, ludmila",,,,,
"pera, rebecca",,"mccarthy, ian p.",,,,,,"brem, alexander","wadell, carl","khvatova, tatiana","trabucchi, daniel",,,,"thurner, thomas",,"repo, petteri","velamuri, vivek k.","vellera, cyrielle",,,,"ye, hua",,,,"yu, juan",,,,,,,,,,,,
,,"pitt, leyland",,,,,,"gladysz, bartosz",,"maalaoui, adnane",,,,,,,"timonen, päivi",,"vernette, eric",,,,,,,,"zantow, kenneth",,,,,,,,,,,,
,,"west, joel",,,,,,"ernst, markus",,"schiavone, francesco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"schulz, stefanie",,"villasalero, manuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"ghasemzadeh, khatereh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
