teal,green,gold,orange,maroon
"amft, andré","piller, frank t.*","antorini, yun mi","ford, simon j.","järvilehto, mikko"
"diener, kathleen","franke, nikolaus*","muñiz, albert m.","jaeger, manuel","liukkunen, kari"
"lüttgens, dirk","ihl, christoph",,"mortara, letizia","similä, jouni"
"pollok, patrick","vossen, alexander",,,
,"kleer, robin",,,
