maroon,teal,gold,green,yellow,red,blue,purple,brown,indigo,pink,orange
"ahvari, hooman","bortoluzzi, guido","de jong, jeroen p.j.","fursov, konstantin","globocnik, dietfried","gong, yu","hamdi-kidar, linda","hartmann, mia rosa","hyysalo, sampsa","o'hern, matthew","raïes, karine","von hippel, christiana d."
"ekhlassi, amir","yordanova, zornitsa","poldervaart, sabrine","linton, jonathan","faullant, rita","jia, fu","vellera, cyrielle","hartmann, rasmus koss","johnson, mikael","ye, jun","schiavone, francesco","cann, andrew b."
"mcdonagh, joe","ghasemzadeh, khatereh","raasch, christina","nefedova, alena",,"shi, yangyan",,,"juntunen, jouni k.","wu, jiajun","rivieccio, giorgia",
,,"rigtering, coen","thurner, thomas",,"zhang, yufang",,,"kristensson, per",,,
,,"spaans, lara",,,"sun, yanhua",,,"trischler, jakob",,,
,,"wu, chia huei",,,,,,,,,
