0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,16
"afuah, allan","arvanitis, spyros","bilgram, volker","björk, jennie","blohm, ivo","bortoluzzi, guido","buganza, tommaso","bäckström, izabelle","cao, xinyan","dahlander, linus","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","harrison, debbie","helminen, pia","janzik, lars","kankanhalli, atreyi","kim, jieun","koch, stefan","lauritzen, ghita dragsdahl","mendonça, joana","nielsen, kristian roed","nishikawa, hidehiko","ogink, timko","peine, alexander","shin, hyun","stanko, michael a.","svensson, peter o.","wang, yonggui","xi, yunjiang"
"bastian, bettina","fuchs, barbara","gutstein, adele","magnusson, mats","bretschneider, ulrich","yordanova, zornitsa","dell'era, claudio","bengtsson, lars","fang, xiang","frederiksen, lars","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","waluszewski, alexandra","freeman, stephanie","raasch, christina","kim, seung hyun","park, yongtae","bierbamer, michael","la cour, anders","reis, anabela","reisch, lucia a.","ogawa, susumu","dong, john qi","herrmann, andrea m.","rao, p. m.","allen, b. j.","hartmann, rasmus koss","li, dahui","liao, xiao"
"bogers, marcel","woerter, martin","marchuk, anna","sandström, gunilla ölundh","krcmar, helmut","escobar, octavio","pellizzoni, elena",,"yang, yu","piezunka, henning","naik, hari suman",,"marchi, gianluca",,"johnson, mikael",,"li, mingguo",,"guceri-ucar, gozem","salomo, søren",,"thøgersen, john","schreier, martin",,,"shin, jongtae",,,,"ye, guangyu"
"west, joel",,"brem, alexander","wadell, carl","marco, jan leimeister","villasalero, manuel","trabucchi, daniel",,"chai, ruirui",,,,,,"juntunen, jouni k.",,"ye, hua",,,,,,"pongtanalert, kritinee",,,,,,,"yu, juan"
,,,,,"ghasemzadeh, khatereh",,,"liu, wei",,,,,,"mäkinen, samuli",,,,,,,,,,,,,,,"zantow, kenneth"
,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,
