teal,orange,yellow,brown,cyan,black,coral,darkviolet,darkturquoise,dodgerblue,fuchsia,maroon,gold,green,red,lime,blue,purple,pink,indigo,magenta,olive,navy,silver,crimson,grey,forestgreen,darkblue,darkgreen,darkred,darkorange,darkcyan,darkmagenta,deeppink,firebrick
"adams, pamela","afuah, allan","agostini, lara","berends, hans","blohm, ivo","cao, xinyan","casadesus-masanell, ramon","chan, tian heong","chen, xiaohong","dahlander, linus","de jong, jeroen p.j.","escobar, octavio","fursov, konstantin","giachetti, claudio","haefliger, stefan","hakkarainen, louna","hamdi-kidar, linda","harrison, debbie","hartmann, mia rosa","hopkins, michael m.","hu, suya","janzik, lars","johnson, mikael","kim, jieun","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","mendonça, joana","o'hern, matthew","peine, alexander","rauch, madeleine","schaarschmidt, mario","scheid, françois","smith, sheryl winston","stanko, michael a."
"fontana, roberto","bastian, bettina","filippini, roberto","deken, fleur","bretschneider, ulrich","fang, xiang","llanes, gastón","lim, shi ying","probert, david","piezunka, henning","rigtering, coen","khvatova, tatiana","linton, jonathan","de gennaro, pamela","jäger, peter","heiskanen, eva","vellera, cyrielle","waluszewski, alexandra","hartmann, rasmus koss","miller, roger","xu, di","raasch, christina","kristensson, per","park, yongtae","bierbamer, michael","la cour, anders","benbya, hind","reis, anabela","ye, jun","herrmann, andrea m.","ansari, shahzad","kilian, thomas","charue-duboc, florence","shah, sonali k.","allen, b. j."
"malerba, franco","bogers, marcel","nosella, anna","feldberg, frans","krcmar, helmut","yang, yu",,,"su, jun",,"spaans, lara","maalaoui, adnane","nefedova, alena","marchi, gianluca","von krogh, georg","hyysalo, sampsa",,,,"nightingale, paul",,,"trischler, jakob",,"guceri-ucar, gozem","salomo, søren","yan, jie (kevin)",,"wu, jiajun",,,,,,
,"west, joel",,"borner, kathrin","marco, jan leimeister","chai, ruirui",,,"zhou, yuan",,,"schiavone, francesco","thurner, thomas",,,"repo, petteri",,,,"tidd, joe",,,,,,,,,,,,,,,
,,,,,"liu, wei",,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,
