maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,navy,lime,olive,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,magenta
"adams, pamela","afuah, allan","arvanitis, spyros","bae, zong tae","bilgram, volker","björk, jennie","chandra, yanto","chatterji, aaron k.","di gangi, paul m.","escobar, octavio","fursov, konstantin","hamdi-kidar, linda","harrison, debbie","helminen, pia","herstatt, cornelius","janzik, lars","leminen, seppo","miyazawa, jun ichi","o'hern, matthew","oliveira, pedro","peine, alexander","pongtanalert, kritinee","schreier, martin","svensson, peter o.","von hippel, christiana d."
"fontana, roberto","bastian, bettina","fuchs, barbara","kang, shin hyung","marchuk, anna","magnusson, mats","leenders, mark a.a.m.","fabrizio, kira","wasko, molly","villasalero, manuel","linton, jonathan","vellera, cyrielle","waluszewski, alexandra","freeman, stephanie","hippel, eric von","raasch, christina","nyström, anna greta","takahashi, shingo","ye, jun","veloso, francisco","herrmann, andrea m.","ogawa, susumu","prügl, reinhard","hartmann, rasmus koss","cann, andrew b."
"malerba, franco","bogers, marcel","woerter, martin","kim, joong hyun","brem, alexander","sandström, gunilla ölundh","cong, ling mei",,,"yordanova, zornitsa","nefedova, alena",,,"johnson, mikael","lüthje, christian",,"westerlund, mika","yoshida, daichi","wu, jiajun","van der boor, paul",,,,,
,"west, joel",,,"ernst, markus","wadell, carl","zhou, michael",,,"ghasemzadeh, khatereh","thurner, thomas",,,"juntunen, jouni k.",,,,,,,,,,,
,,,,,,,,,,,,,"mäkinen, samuli",,,,,,,,,,,
,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,
,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,
,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,
,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,
