teal,gold,orange,maroon
"bradonjic, philip","keinz, peter","reinsberger, kathrin","schreier, martin"
"franke, nikolaus","klausberger, katharina","schirg, florian","von hippel, eric"
"lüthje, christian",,,
"piller, frank t.",,,
