maroon,teal,gold,orange,green,yellow,blue,purple,pink,brown,indigo,lime,magenta,olive,navy,silver,black,crimson,grey,coral,darkblue,red,cyan
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","bilgram, volker","bortoluzzi, guido","buganza, tommaso","ford, simon j.","fursov, konstantin","globocnik, dietfried","hakkarainen, louna","hamdi-kidar, linda","lu, yaobin","mendonça, joana","o'hern, matthew","ogawa, susumu","oliveira, pedro","peine, alexander","schulz, michael","stanko, michael a.","svensson, peter o.","von hippel, christiana d."
"fontana, roberto","bastian, bettina","ekhlassi, amir","muñiz, albert m.","fuchs, barbara","marchuk, anna","yordanova, zornitsa","dell'era, claudio","jaeger, manuel","linton, jonathan","faullant, rita","heiskanen, eva","vellera, cyrielle","gupta, sumeet","reis, anabela","ye, jun","pongtanalert, kritinee","veloso, francisco","herrmann, andrea m.","völckner, franziska","allen, b. j.","hartmann, rasmus koss","cann, andrew b."
"malerba, franco","bogers, marcel","mcdonagh, joe",,"woerter, martin","brem, alexander","ghasemzadeh, khatereh","pellizzoni, elena","mortara, letizia","nefedova, alena",,"hyysalo, sampsa",,"ma, jifeng",,"wu, jiajun",,"van der boor, paul",,,,,
,"mccarthy, ian p.",,,,"ernst, markus",,"trabucchi, daniel",,"thurner, thomas",,"johnson, mikael",,,,,,,,,,,
,"pitt, leyland",,,,,,,,,,"juntunen, jouni k.",,,,,,,,,,,
,"west, joel",,,,,,,,,,"repo, petteri",,,,,,,,,,,
,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,
,,,,,,,,,,,"kristensson, per",,,,,,,,,,,
,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,
