maroon,gold,teal
"al-jayyousi, odeh r.","cai, fangtong","mathies, christine"
"durugbo, christopher m.","qiu, shanshan","de ruyter, ko"
,"zhu, wei","patterson, paul g."
,"li, shuqin","piyathasanan, bhuminan"
,"qin, min",
