maroon,teal,gold,orange,green,yellow,red,blue,purple,brown,indigo,cyan,magenta,lime,olive,navy,silver,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,lightblue,lightcoral,pink,black
"abrate, graziano","adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","awazu, yukika","berends, hans","bilgram, volker","bortoluzzi, guido","buganza, tommaso","cai, fangtong","cao, xinyan","chandra, yanto","chatterji, aaron k.","chen, xiaohong","chou, jerome chih lung","dahlander, linus","de jong, jeroen p.j.","fritzsche, albrecht","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","hamdi-kidar, linda","harrison, debbie","helminen, pia","janzik, lars","kankanhalli, atreyi","karantinou, kalipso","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","liao, xiao","lu, yaobin","mendonça, joana","miyazawa, jun ichi","ogink, timko","peine, alexander","prügl, reinhard","shermon, anavir","smith, sheryl winston","stanko, michael a.","svensson, peter o.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","ekhlassi, amir","jensen, morten berg","ramaprasad, arkalgud","deken, fleur","gutstein, adele","yordanova, zornitsa","dell'era, claudio","qiu, shanshan","fang, xiang","leenders, mark a.a.m.","fabrizio, kira","probert, david","dong, tse ping","frederiksen, lars","rigtering, coen","moeslein, kathrin m.","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","keinz, peter","waluszewski, alexandra","freeman, stephanie","raasch, christina","teo, hock hai","goffin, keith","artmayr, philipp","la cour, anders","benbya, hind","xi, yunjiang","gupta, sumeet","reis, anabela","takahashi, shingo","dong, john qi","herrmann, andrea m.","schreier, martin","moeen, mahka","shah, sonali k.","allen, b. j.","hartmann, rasmus koss","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","mcdonagh, joe","muñiz, albert m.","desouza, kevin c.","feldberg, frans","marchuk, anna","ghasemzadeh, khatereh","pellizzoni, elena","zhu, wei","yang, yu",,,"su, jun","hung, chia liang","piezunka, henning","spaans, lara","naik, hari suman","marchi, gianluca",,,"le nagard, emmanuelle",,"johnson, mikael",,"ye, hua jonathan","sakellariou, evy","bierbamer, michael","salomo, søren","yan, jie (kevin)","ye, guangyu","ma, jifeng",,"yoshida, daichi",,,,,,,,
"pera, rebecca",,"west, joel",,"nørskov, sladjana",,"borner, kathrin","brem, alexander",,"trabucchi, daniel","li, shuqin","chai, ruirui",,,"zhou, yuan",,"jeppesen, lars bo",,,,,,"vernette, eric",,"juntunen, jouni k.",,,,,,,"yu, juan",,,,,,,,,,,
,,,,,,,"gladysz, bartosz",,,"qin, min","liu, wei",,,,,,,,,,,,,"mäkinen, samuli",,,,,,,"zantow, kenneth",,,,,,,,,,,
,,,,,,,"schulz, stefanie",,,,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,,,
