gold,teal,maroon,orange
3d printing,user innovation,configuration,free innovation
additive manufacturing,innovation contest,customer integration,household sector
localization of manufacturing,private-collective innovation,mass customisation,information processing
market structure,reward,personalisation,knowledge diversity
prosumer,,toolkit,"shared mental models jel: l20, l67, o30, o31"
,,user co-design,team creativity
