teal,green,blue,indigo,purple,pink,brown,lime,olive,maroon,gold,orange,yellow,red,magenta,cyan
"adams, pamela","afuah, allan","agostini, lara","blohm, ivo","cao, xinyan","chen, xiaohong","escobar, octavio","fursov, konstantin","giachetti, claudio","hakkarainen, louna","hopkins, michael m.","johnson, mikael","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","o'hern, matthew"
"fontana, roberto","bastian, bettina","filippini, roberto","bretschneider, ulrich","fang, xiang","probert, david","khvatova, tatiana","linton, jonathan","de gennaro, pamela","heiskanen, eva","miller, roger","kristensson, per","bierbamer, michael","la cour, anders","benbya, hind","ye, jun"
"malerba, franco","bogers, marcel","nosella, anna","krcmar, helmut","yang, yu","su, jun","maalaoui, adnane","nefedova, alena","marchi, gianluca","hyysalo, sampsa","nightingale, paul","trischler, jakob","guceri-ucar, gozem","salomo, søren","yan, jie (kevin)","wu, jiajun"
,"west, joel",,"marco, jan leimeister","chai, ruirui","zhou, yuan","schiavone, francesco","thurner, thomas",,"repo, petteri","tidd, joe",,,,,
,,,,"liu, wei",,,,,"timonen, päivi",,,,,,
