maroon,teal,gold,orange,green,yellow,red,purple,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,darkviolet,blue
"abrate, graziano","al-jayyousi, odeh r.","antorini, yun mi","awazu, yukika","berends, hans","bilgram, volker","bortoluzzi, guido","buganza, tommaso","cai, fangtong","cao, xinyan","chandra, yanto","de jong, jeroen p.j.","ford, simon j.","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","haller, jörg b.a.","hu, suya","hu, yansong","janzik, lars","johnson, mikael","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","leidner, dorothy e.","liao, xiao","lin, jie","lu, yaobin","mathies, christine","miyazawa, jun ichi","nielsen, kristian roed","ogink, timko","pacauskas, darius","rayna, thierry","schaarschmidt, mario","schulz, michael","stanko, michael a.","wang, yonggui","xiao, ting"
"baima, gabriele","durugbo, christopher m.","jensen, morten berg","ramaprasad, arkalgud","deken, fleur","marchuk, anna","yordanova, zornitsa","dell'era, claudio","qiu, shanshan","fang, xiang","leenders, mark a.a.m.","rigtering, coen","jaeger, manuel","moeslein, kathrin m.","nefedova, alena","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","möslein, kathrin m.","xu, di","mcloughlin, damien","raasch, christina","kristensson, per","kim, seung hyun","goffin, keith","park, yongtae","benbya, hind","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","de ruyter, ko","takahashi, shingo","reisch, lucia a.","dong, john qi","mäntymäki, matti","darlington, john","kilian, thomas","völckner, franziska","allen, b. j.","li, dahui","wang, xuan"
"menozzi, anna",,"muñiz, albert m.","desouza, kevin c.","feldberg, frans","brem, alexander","escobar, octavio","pellizzoni, elena","zhu, wei","yang, yu","cong, ling mei","spaans, lara","mortara, letizia","naik, hari suman","thurner, thomas","marchi, gianluca",,,"schneckenberg, dirk",,,,"trischler, jakob","teo, hock hai","sakellariou, evy",,"yan, jie (kevin)","ye, guangyu","wang, chao","ma, jifeng","patterson, paul g.","yoshida, daichi","thøgersen, john",,"rajala, risto","striukova, ludmila",,,,,"yang, cai"
"pera, rebecca",,"nørskov, sladjana",,"borner, kathrin","gladysz, bartosz","villasalero, manuel","trabucchi, daniel","li, shuqin","chai, ruirui","zhou, michael",,,,,,,,"velamuri, vivek k.",,,,,"ye, hua jonathan",,,,"yu, juan","zhou, lixin",,"piyathasanan, bhuminan",,,,"westerlund, mika",,,,,,"yang, zhi"
,,,,,"ernst, markus","ghasemzadeh, khatereh",,"qin, min","liu, wei",,,,,,,,,,,,,,"li, mingguo",,,,"zantow, kenneth",,,,,,,,,,,,,
,,,,,"schulz, stefanie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
